tool	seq_type	value	ecdf
DRAM-V	Mixed metagenomes	283	0.24047357
DRAM-V	Mixed metagenomes	283	0.24097352
DRAM-V	Mixed metagenomes	283	0.24147347
DRAM-V	Mixed metagenomes	283	0.2419734
DRAM-V	Mixed metagenomes	284	0.24247335
DRAM-V	Mixed metagenomes	284	0.2429733
DRAM-V	Mixed metagenomes	284	0.24347325
DRAM-V	Mixed metagenomes	284	0.24397318
DRAM-V	Mixed metagenomes	284	0.24447313
DRAM-V	Mixed metagenomes	284	0.24497308
DRAM-V	Mixed metagenomes	284	0.24547301
DRAM-V	Mixed metagenomes	284	0.24597296
DRAM-V	Mixed metagenomes	284	0.24647291
DRAM-V	Mixed metagenomes	284	0.24697284
DRAM-V	Mixed metagenomes	284	0.2474728
DRAM-V	Mixed metagenomes	284	0.24797274
DRAM-V	Mixed metagenomes	284	0.24847268
DRAM-V	Mixed metagenomes	284	0.24897262
DRAM-V	Mixed metagenomes	284	0.24947257
DRAM-V	Mixed metagenomes	284	0.2499725
DRAM-V	Mixed metagenomes	284	0.25047246
DRAM-V	Mixed metagenomes	284	0.2509724
DRAM-V	Mixed metagenomes	284	0.25147235
DRAM-V	Mixed metagenomes	284	0.2519723
DRAM-V	Mixed metagenomes	284	0.25247222
DRAM-V	Mixed metagenomes	284	0.2529722
DRAM-V	Mixed metagenomes	284	0.25347212
DRAM-V	Mixed metagenomes	284	0.25397205
DRAM-V	Mixed metagenomes	284	0.25447202
DRAM-V	Mixed metagenomes	285	0.25497195
DRAM-V	Mixed metagenomes	285	0.2554719
DRAM-V	Mixed metagenomes	285	0.25597185
DRAM-V	Mixed metagenomes	285	0.25647178
DRAM-V	Mixed metagenomes	285	0.25697172
DRAM-V	Mixed metagenomes	285	0.25747168
DRAM-V	Mixed metagenomes	285	0.2579716
DRAM-V	Mixed metagenomes	285	0.25847155
DRAM-V	Mixed metagenomes	285	0.2589715
DRAM-V	Mixed metagenomes	285	0.25947145
DRAM-V	Mixed metagenomes	285	0.25997138
DRAM-V	Mixed metagenomes	285	0.26047134
DRAM-V	Mixed metagenomes	285	0.26097128
DRAM-V	Mixed metagenomes	285	0.2614712
DRAM-V	Mixed metagenomes	285	0.26197118
DRAM-V	Mixed metagenomes	285	0.2624711
DRAM-V	Mixed metagenomes	285	0.26297107
DRAM-V	Mixed metagenomes	285	0.263471
DRAM-V	Mixed metagenomes	285	0.26397094
DRAM-V	Mixed metagenomes	285	0.2644709
DRAM-V	Mixed metagenomes	285	0.26497084
DRAM-V	Mixed metagenomes	285	0.26547077
DRAM-V	Mixed metagenomes	285	0.26597074
DRAM-V	Mixed metagenomes	285	0.26647067
DRAM-V	Mixed metagenomes	285	0.2669706
DRAM-V	Mixed metagenomes	285	0.26747057
DRAM-V	Mixed metagenomes	285	0.2679705
DRAM-V	Mixed metagenomes	285	0.26847044
DRAM-V	Mixed metagenomes	285	0.2689704
DRAM-V	Mixed metagenomes	285	0.26947033
DRAM-V	Mixed metagenomes	285	0.26997027
DRAM-V	Mixed metagenomes	285	0.27047023
DRAM-V	Mixed metagenomes	285	0.27097017
DRAM-V	Mixed metagenomes	285	0.2714701
DRAM-V	Mixed metagenomes	285	0.27197006
DRAM-V	Mixed metagenomes	285	0.27247
DRAM-V	Mixed metagenomes	285	0.27296993
DRAM-V	Mixed metagenomes	285	0.2734699
DRAM-V	Mixed metagenomes	286	0.27396983
DRAM-V	Mixed metagenomes	286	0.27446976
DRAM-V	Mixed metagenomes	286	0.27496973
DRAM-V	Mixed metagenomes	286	0.27546966
DRAM-V	Mixed metagenomes	286	0.2759696
DRAM-V	Mixed metagenomes	286	0.27646956
DRAM-V	Mixed metagenomes	286	0.2769695
DRAM-V	Mixed metagenomes	286	0.27746943
