id	db	name
K00283	KEGG	gcvPB; glycine cleavage system P protein (glycine dehydrogenase) subunit 2 [EC:1.4.4.2]
K00284	KEGG	GLU, gltS; glutamate synthase (ferredoxin) [EC:1.4.7.1]
K00285	KEGG	dadA; D-amino-acid dehydrogenase [EC:1.4.5.1]
K00286	KEGG	proC; pyrroline-5-carboxylate reductase [EC:1.5.1.2]
K00287	KEGG	DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]
K00288	KEGG	MTHFD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase [EC:1.5.1.5 3.5.4.9 6.3.4.3]
K00289	KEGG	ALDH1L; formyltetrahydrofolate dehydrogenase [EC:1.5.1.6]
K00290	KEGG	LYS1; saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]
K00293	KEGG	LYS9; saccharopine dehydrogenase (NADP+, L-glutamate forming) [EC:1.5.1.10]
K00294	KEGG	E1.2.1.88; 1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]
K00295	KEGG	MTD1; methylenetetrahydrofolate dehydrogenase (NAD+) [EC:1.5.1.15]
K00296	KEGG	nos; D-nopaline dehydrogenase [EC:1.5.1.19]
K00297	KEGG	metF, MTHFR; methylenetetrahydrofolate reductase (NADH) [EC:1.5.1.54]
K00298	KEGG	ceo; N5-(carboxyethyl)ornithine synthase [EC:1.5.1.24]
K00299	KEGG	ssuE, msuE; FMN reductase [EC:1.5.1.38]
K00300	KEGG	mtdA; methylenetetrahydrofolate/methylenetetrahydromethanopterin dehydrogenase (NADP+) [EC:1.5.1.5 1.5.1.-]
K00301	KEGG	E1.5.3.1; sarcosine oxidase [EC:1.5.3.1]
K00302	KEGG	soxA; sarcosine oxidase, subunit alpha [EC:1.5.3.24 1.5.3.1]
K00303	KEGG	soxB; sarcosine oxidase, subunit beta [EC:1.5.3.24 1.5.3.1]
K00304	KEGG	soxD; sarcosine oxidase, subunit delta [EC:1.5.3.24 1.5.3.1]
K00305	KEGG	soxG; sarcosine oxidase, subunit gamma [EC:1.5.3.24 1.5.3.1]
K00306	KEGG	PIPOX; sarcosine oxidase / L-pipecolate oxidase [EC:1.5.3.1 1.5.3.7]
K00307	KEGG	BBE1; reticuline oxidase [EC:1.21.3.3]
K00308	KEGG	PAOX; N1-acetylpolyamine oxidase [EC:1.5.3.13]
K00309	KEGG	dmg; dimethylglycine oxidase [EC:1.5.3.10]
K00310	KEGG	SE; pyrimidodiazepine synthase [EC:1.5.4.1]
K00311	KEGG	ETFDH; electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]
K00312	KEGG	WNT3; wingless-type MMTV integration site family, member 3
K00313	KEGG	fixC; electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]
K00314	KEGG	SARDH; sarcosine dehydrogenase [EC:1.5.8.3]
K00315	KEGG	DMGDH; dimethylglycine dehydrogenase [EC:1.5.8.4]
K00316	KEGG	spdH; spermidine dehydrogenase [EC:1.5.99.6]
K00317	KEGG	dmd-tmd; dimethylamine/trimethylamine dehydrogenase [EC:1.5.8.1 1.5.8.2]
K00318	KEGG	PRODH, fadM, putB; proline dehydrogenase [EC:1.5.5.2]
