id,db,name
K16555,KEGG,succinoglycan biosynthesis protein ExoO [EC:2.4.-.-]
K00526,KEGG,ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]
K19425,KEGG,glycosyltransferase EpsH [EC:2.4.-.-]
K06240,KEGG,"laminin, alpha 3/5"
K11661,KEGG,helicase SRCAP/SWR1 [EC:5.6.2.-]
K03090,KEGG,RNA polymerase sigma-B factor
K11927,KEGG,ATP-dependent RNA helicase RhlE [EC:3.6.4.13]
K21499,KEGG,Straboviridae ATP-dependent DNA helicase [EC:5.6.2.3]
K10300,KEGG,F-box DNA helicase 1 [EC:5.6.2.4]
K00985,KEGG,Enterovirus RNA-directed RNA polymerase [EC:2.7.7.48]
K12988,KEGG,"alpha-1,3-rhamnosyltransferase [EC:2.4.1.-]"
K14335,KEGG,"alpha-1,6-mannosyltransferase [EC:2.4.1.-]"
K07096,KEGG,uncharacterized protein
K26043,KEGG,Straboviridae exonuclease subunit 2 [EC:3.1.11.-]
K07684,KEGG,"two-component system, NarL family, nitrate/nitrite response regulator NarL"
K27000,KEGG,RNA polymerase sigma-H factor
K13525,KEGG,transitional endoplasmic reticulum ATPase
K07394,KEGG,SM-20-related protein
K15891,KEGG,NAD+-dependent farnesol dehydrogenase [EC:1.1.1.354]
K26414,KEGG,Straboviridae DNA adenine methylase [EC:2.1.1.72]
K26835,KEGG,Marseilleviridae peptidase
K03726,KEGG,ATP-dependent DNA helicase [EC:5.6.2.4]
K25890,KEGG,"beta-1,6-glucosyltransferase"
K03798,KEGG,cell division protease FtsH [EC:3.4.24.-]
K14744,KEGG,prophage endopeptidase [EC:3.4.-.-]
K24076,KEGG,peptidoglycan-recognition protein LB [EC:3.5.1.28]
K10871,KEGG,RAD51-like protein 3
K17399,KEGG,DNA (cytosine-5)-methyltransferase 3B [EC:2.1.1.37]
K03420,KEGG,proteasome regulatory subunit
K26036,KEGG,Straboviridae polynucleotide kinase [EC:2.7.1.78 3.1.3.34]
K08259,KEGG,lysostaphin [EC:3.4.24.75]
K10754,KEGG,replication factor C subunit 1
K27053,KEGG,Tombusviridae capsid protein
K07497,KEGG,putative transposase
K11618,KEGG,"two-component system, NarL family, response regulator LiaR"
K13694,KEGG,murein DD-endopeptidase / murein LD-carboxypeptidase [EC:3.4.-.- 3.4.17.13]
K07336,KEGG,PKHD-type hydroxylase [EC:1.14.11.-]
K26848,KEGG,Ackermannviridae DNA helicase subunit of helicase-primase complex
K26782,KEGG,Straboviridae short tail fiber protein Gp12
K03574,KEGG,8-oxo-dGTP diphosphatase [EC:3.6.1.55]
K17398,KEGG,DNA (cytosine-5)-methyltransferase 3A [EC:2.1.1.37]
K18691,KEGG,membrane-bound lytic murein transglycosylase F [EC:4.2.2.-]
K02341,KEGG,DNA polymerase III subunit delta' [EC:2.7.7.7]
K17250,KEGG,"GalNAc5-diNAcBac-PP-undecaprenol beta-1,3-glucosyltransferase [EC:2.4.1.293]"
K02327,KEGG,DNA polymerase delta subunit 1 [EC:2.7.7.7]
